Column,reference,text,name,normalized,cluster_key_collision,cluster_levenshtein,cluster_levenshtein_radius2,cluster_levenshtein_block5
1038,362:067, a-na DUMU.MEß m.ÌR-a-$i-ir-ti ù ti-dì-$u-{n}a DUMU<.MEß>, m.ÌR-a-$i-ir-ti, m.ÌR-a-ši-ir-ti, m.ÌR-a-ši-ir-ti, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
1039,362:070,                    sú-ki-na m.pí-wu-{r}i, m.pí-wu-{r}i, m.pí-wu-ri, m.pí-wu-ri, m.pí-wu-ri, m.pí-wu-ri, m.pí-wu-ri
1040,363:009, ù a-li-ik!(UK) m.e-ta-qa-ma, m.e-ta-qa-ma, m.e-ta-qa-ma, m.e-ta-qa-ma, m.e-ta-qa-ma, m.e-ta-qa-ma, m.e-ta-qa-ma
1041,364:013, qa-ti m.a-tah-ma-ia, m.a-tah-ma-ia, m.a-tah-ma-ia, m.a-tah-ma-ia, m.a-tah-ma-ia, m.ta-ah-ma-ia, m.ta-ah-ma-ia
1042,365:003, um-ma m.bi-ri-di-ya, m.bi-ri-di-ya, m.bi-ri-di-ya, m.bi-ri-di-ya, m.bi-ri-di-ya, m.bi-ri-di-ya, m.bi-ri-di-ya
1043,366:003, u{m-m}a m.$u-wa-ar-da-ta, m.$u-wa-ar-da-ta, m.šu-wa-ar-da-ta, m.šu-wa-ar-da-ta, m.šu-wa-ar-da-ta, m.šu-wa-ar-da-ta, m.šu-wa-ar-da-ta
1044,366:022, ù m.sú-ra-t{a LÚ} URU.ak-ka.KI, m.sú-ra-t{a, m.sú-ra-ta, m.sú-ra-ta, m.sú-ra-ta, m.sú-ra-ta, m.sú-ra-ta
1045,366:023, ù m.in4-tar!(tá)-ú-ta, m.in4-tar, m.in4-tar, m.in4-tar, m.in4-tar, m.in4-tar, m.in4-tar
1046,366:031, lu-ú yu-$i-ra m.ia-an-ha-ma, m.ia-an-ha-ma, m.ia-an-ha-ma, m.ia-an-ha-ma, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu
1047,367:001, a-na m.in-tar-ú-tá LÚ URU.ak-$a-pa, m.in-tar-ú-tá, m.in-tar-ú-tá, m.in-tar-ú-tá, m.in-tar-ú-tá, m.in-tar-ú-tá, m.in-tar-ú-tá
