Column,reference,text,name,normalized,cluster_key_collision,cluster_levenshtein,cluster_levenshtein_radius2,cluster_levenshtein_block5
71,079:044, [a-na m.ÌR]-a-$i-ir-ta, m.ÌR]-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
72,080:019, [m.ÌR-a-$i-i]r-ta ù [_ _ _ _ _ _], [m.ÌR-a-$i-i]r-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
73,081:001, [m.ri-ib-d.IßKUR iq-b]i a-na EN-[$u], [m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
74,081:018, [m.]ÌR-a-$i-ir-ta i-na pí-$u a-pí-ì$, [m.]ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
75,081:039, [DUMU.MEß-$u-nu f.]D[UMU].MÍ.MEß GI]ß.MEß É.MEß-$u-nu, f.]D[UMU].MÍ.MEß, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ
76,081:047, [m.Ì]R-a-$i-ir-ta ù ìl-te9-qé 2 U[RU], [m.Ì]R-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
77,082:001, a-na m.[a-ma]-an-ap-pa a-bi-ia, m.[a-ma]-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa
78,082:003, um-ma m.ri-ib-d.IßKUR DUMU-ka-ma, m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
79,082:008, m.ÌR-a-$i-ir-ta ka-li, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
80,082:023, ú-ul yi-ì$-ma m.ÌR-a-$i-ir-[ta], m.ÌR-a-$i-ir-[ta], m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
81,083:001, [m.r]i-ib-[d.IßKUR i]q-bi a[-na], [m.r]i-ib-[d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
82,083:025, ki-ta it-ti m.ÌR-a-$i-ir-ta, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
83,083:026, ki-ma m.ia-pa-d.IßKUR ù m.zi-im-re-[d]a, m.ia-pa-d.IßKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR
84,083:026, ki-ma m.ia-pa-d.IßKUR ù m.zi-im-re-[d]a, m.zi-im-re-[d]a, m.zi-im-re-da, m.zi-im-re-da, m.zi-im-ri-da, m.zi-im-ri-da, m.zi-im-ri-da
85,083:031, m.ia-an-ha-mi ù ia-dì-na, m.ia-an-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu
86,083:039, É m.ia-an-h[a-]mi $a-ni-tam qí-ba-mi, m.ia-an-h[a-]mi, m.ia-an-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu
87,083:040, a-na m.ia-<an>-ha-mi al-lu-mi m.ri-ib-d.IßKUR, m.ia-<an>-ha-mi, m.ia-<an>-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu
88,083:040, a-na m.ia-<an>-ha-mi al-lu-mi m.ri-ib-d.IßKUR, m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
89,083:053, f.um-ma-ah-nu ù m.i$-ku-ru, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu
90,083:053, f.um-ma-ah-nu ù m.i$-ku-ru, m.i$-ku-ru, m.iš-ku-ru, m.iš-ku-ru, m.iš-ku-ru, m.iš-ku-ru, m.iš-ku-ru
91,084:008, m.ÌR-d.a-$i-ir-ti UR.GI7 i-nu-ma, m.ÌR-d.a-$i-ir-ti, m.ÌR-d.a-ši-ir-ti, m.ÌR-d.a-ši-ir-ti, m.ÌR-d.a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
92,084:039, [a]-mur m.ÌR.NIN.URTA LÚ $a u$-$ir4-ti, m.ÌR.NIN.URTA, m.ÌR.NIN.URTA, m.ÌR.NIN.URTA, m.ÌR.NIN.URTA, m.ÌR.NIN.URTA, m.ÌR.NIN.URTA
93,084:040, [i]t-ti m.bu-he-wa LÚ lil-[ma-ad], m.bu-he-wa, m.bu-he-wa, m.bu-he-wa, m.bu-he-wa, m.bu-he-wa, m.bu-he-wa
94,084:042, [$á-ni-tam] a-mur f.u[m]-ma-a[h-nu] GEME d.[NIN $a], f.u[m]-ma-a[h-nu], f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu
95,084:043,   [URU gub-la] LÚ mu-ut-$[i] m.mil-kur-r[u], m.mil-kur-r[u], m.mil-kur-ru, m.mil-kur-ru, m.mil-kur-ru, m.mil-kur-ru, m.mil-kur-ru
96,085:002, [um-ma m.ri-ib]-d.IßKUR ÌR-ka-ma a-na G[ÌR.MEß], m.ri-ib]-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
97,085:013, DUMU.MEß-$u-nu f.DUMU.MÍ-$u-nu GIß.ME[ß] É-$u-nu, f.DUMU.MÍ-$u-nu, f.DUMU.MÍ-šu-nu, f.DUMU.MÍ-šu-nu, f.DUMU.MÍ-šu-nu, f.DUMU.MÍ-šu-nu, f.DUMU.MÍ-šu-nu
98,085:021, ki-ma na-da-ni a-na m.sú-[r]a-ta, m.sú-[r]a-ta, m.sú-ra-ta, m.sú-ra-ta, m.sú-ra-ta, m.sú-ra-ta, m.sú-ra-ta
99,085:023, [$]a-ni-tam i-nu-ma yi-[i]q-bi m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu
100,085:024, [na-a]d-na-ti-mi ßE-im.HÁ a-na m.ri-ib-d.IßKUR, m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
101,085:029, ù an-nu-ú i-na <qa-at> m.ia-pa-d.Iß[KUR], m.ia-pa-d.Iß[KUR], m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR
102,085:031, m.p[u]-hé-ya it-ka [$]a-al-$u, m.p[u]-hé-ya, m.pu-hé-ya, m.pu-hé-ya, m.pu-hé-ya, m.pu-hé-ya, m.pu-hé-ya
103,085:041, [m.ÌR-a]-$[i]-ir-ta ù LÚ.MEß G[AZ.MEß], [m.ÌR-a]-$[i]-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
104,085:042, [a-na ma-ha]r m.ia-pa-d.IßKUR i-na, m.ia-pa-d.IßKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR
105,085:048, [qí-]ba-mi a-na m.ia-an-ha-mi ù, m.ia-an-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu
106,085:064, m.ÌR-a-$[i-ir-]t[a] Ì[R U]R.[G]I7 [ù], m.ÌR-a-$[i-ir-]t[a], m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
107,085:068, ù ú-da-bi-ra m.ÌR-a-$i-ir-ta, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
108,085:084, [nu-u$-pu]-ru ú-ul nu-u$-pu-ru a-n[a ka-]ta5 f.um-m[a-ah-nu], f.um-m[a-ah-nu], f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu
109,085:085, [ù mu-]ut-$i m.i$-ku-r[u] GEME d.N[IN $a] URU gub-[la ù], m.i$-ku-r[u], m.iš-ku-ru, m.iš-ku-ru, m.iš-ku-ru, m.iš-ku-ru, m.iš-ku-ru
110,086:001, [a-na m.]a-ma-a[n-ap-pa qí-bí-ma], m.]a-ma-a[n-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa
111,086:002, um-ma m.ri-ib-d.[IßKUR a-na GÌR.MEß-ka], m.ri-ib-d.[IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
112,086:015, [ki-a]-ma táq-bi m.ia-an-ha[-mu-mi], m.ia-an-ha[-mu-mi], m.ia-an-ha-mu-mi, m.ia-an-ha-mu-mi, m.ia-an-ha-mu-mi, m.ia-an-ha-mu-mi, m.ia-an-ha-mu-mi
113,086:024, [f.um]-ma-ah[-nu ù mu-ut-$i], [f.um]-ma-ah[-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu, f.um-ma-ah-nu
114,086:025, [m.i$-ku]-ra G[EME d.NIN], [m.i$-ku]-ra, m.iš-ku-ra, m.iš-ku-ra, m.iš-ku-ru, m.iš-ku-ru, m.iš-ku-ru
115,087:001, [a-na m.]a-ma-an-ap-pí B[E-ia], m.]a-ma-an-ap-pí, m.a-ma-an-ap-pí, m.a-ma-an-ap-pí, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa
116,088:001, [m.ri-i]b-[d.]Iß[KUR] iq-b[i a-na BE-$u], [m.ri-i]b-[d.]Iß[KUR], m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
117,088:010, [m.Ì]R-a$-ra-ti ÌR UR.KU ú i[p-pu-u]$, [m.Ì]R-a$-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti
118,089:001, [m.ri-ib-]d.IßKUR iq-b[i a-na], [m.ri-ib-]d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
119,089:022, f.DUMU.MÍ.MEß a-ha-<ti>-ia u$-$i-ir-ti, f.DUMU.MÍ.MEß, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ, f.DUMU.MÍ.MEŠ
120,089:024, m.ÌR-a[-$i-ir-ta _ _ _]-$u, m.ÌR-a[-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
121,089:064, [m.ÌR-a]-$i-ir-ta la-qa a-ia-ab $[a], [m.ÌR-a]-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
122,090:003, um-ma m.ri-ib-d.IßKUR Ì[R-ka-ma], m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
123,090:012, [ú-u]l yi-ìl-qé-$i m.ÌR[-a-$i-ir-ta], m.ÌR[-a-$i-ir-ta], m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
124,090:028, [ha-za-nu-ti] sal-mu a-na m.ÌR-a-[$i-ir-ta], m.ÌR-a-[$i-ir-ta], m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
125,090:036, [_ _ g]a-am-r[u DUMU.MEß-nu f.DUMU.MÍ.MEß-]nu, f.DUMU.MÍ.MEß-]nu, f.DUMU.MÍ.MEŠ-nu, f.DUMU.MÍ.MEŠ-nu, f.DUMU.MÍ.MEŠ-nu, f.DUMU.MÍ.MEŠ-nu, f.DUMU.MÍ.MEŠ-nu
126,091:001, [m.ri-ib-d.IßKUR iq-bi a-na] EN-$[u a-na GÌR.MEß], [m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
127,092:001, m.r[i-i]b-ad-di iq-bi, m.r[i-i]b-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di
128,092:007, [$á-ni]-tam m.ÌR-a[$-ra-ti L]Ú.[U]R.K[U, m.ÌR-a[$-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti
129,092:018, m.ÌR-d.a$-ra-ti ù ì$[-mé], m.ÌR-d.a$-ra-ti, m.ÌR-d.aš-ra-ti, m.ÌR-d.aš-ra-ti, m.ÌR-d.aš-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti
130,092:019, m.ÌR-a$-ra-tum i-nu-ma ka-$i-id, m.ÌR-a$-ra-tum, m.ÌR-aš-ra-tum, m.ÌR-aš-ra-tum, m.ÌR-aš-ra-tu4, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti
131,092:035, [al-l]u-m[i] i[$-t]ap-ru m.ri-ib-ad-d[a], m.ri-ib-ad-d[a], m.ri-ib-ad-da, m.ri-ib-ad-da, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di
132,093:001, [a-na m.a-m]a-an-ap-pa, m.a-m]a-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa
133,093:002, [um-ma m.r]i-ib-d.IßKUR, m.r]i-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
134,093:023, m.ÌR-a-$i-ir(!)-ta, m.ÌR-a-$i-ir, m.ÌR-a-ši-ir, m.ÌR-a-ši-ir, m.ÌR-a-ši-ir, m.ÌR-a-ši-ir, m.ÌR-a-ši-ir
135,094:001, [m.r]i-[ib]-a[d]-[d]i [i]$(!)[-t]a(!)-pá]r a-na [L]UG[AL.[KU]R.[KUR.KI], [m.r]i-[ib]-a[d]-[d]i, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di
136,094:011, ÉRIN.MEß pí-µá-ti ù ti-il5-[qé m.Ì]R-a$-ra-ta, m.Ì]R-a$-ra-ta, m.ÌR-aš-ra-ta, m.ÌR-aš-ra-ta, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti
137,095:002, [u]m-ma m.ri-ib-d.IßKUR a-na G[ÌR.MEß-ka], m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
138,095:024, [k]i pa-na-n[u] m.ÌR-a-[$i-ir-ta], m.ÌR-a-[$i-ir-ta], m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
139,095:041, [m.]Ì[R]-a-$[i]-ir-ta ma-ri-ic [M]A.[G]AL, [m.]Ì[R]-a-$[i]-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
140,096:001, a-na m.ri-ib-d.IßKUR, m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
141,096:003, um-ma m.LÚ.GAL ÉRIN.ME[ß A]D-ka-ma, m.LÚ.GAL, m.LÚ.GAL, m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL
142,097:001, [a-]na m.$u-mu-ha-d[i], m.$u-mu-ha-d[i], m.šu-mu-ha-di, m.šu-mu-ha-di, m.šu-mu-ha-di, m.šu-mu-ha-di, m.šu-mu-ha-di
143,097:002, [u]m-ma m.ia-ap-p[a-]a[h-d.IßKUR], m.ia-ap-p[a-]a[h-d.IßKUR], m.ia-ap-pa-ah-d.IŠKUR, m.ia-ap-pa-ah-d.IŠKUR, m.ia-ap-pa-ah-d.IŠKUR, m.ia-ap-pa-ah-d.IŠKUR, m.ia-ap-pa-ah-d.IŠKUR
144,097:011, [m.ÌR-a-$i-ir-ta _ _ ], [m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
145,097:021, [a-na m.Ì]R-a-$i-i[r-]t[a], m.Ì]R-a-$i-i[r-]t[a], m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
146,098:002, [qí-]bí-ma m.(!) um-ma m.ia-pa-[a]h-d.IßKUR, m., m., m., m., m., m.
147,098:002, [qí-]bí-ma m.(!) um-ma m.ia-pa-[a]h-d.IßKUR, m.ia-pa-[a]h-d.IßKUR, m.ia-pa-ah-d.IŠKUR, m.ia-pa-ah-d.IŠKUR, m.ia-pa-ah-d.IŠKUR, m.ia-pa-ah-d.IŠKUR, m.ia-pa-ah-d.IŠKUR
148,098:007, m.a-zi-ri i$-tu, m.a-zi-ri, m.a-zi-ri, m.a-zi-ri, m.a-zi-ri, m.a-zi-ri, m.a-zi-ri
149,100:012, EN-nu m.[DUMU]-bi-ha-a [ù], m.[DUMU]-bi-ha-a, m.DUMU-bi-ha-a, m.DUMU-bi-ha-a, m.DUMU-bi-ha-a, m.DUMU-bi-ha-a, m.DUMU-bi-ha-a
150,101:002, [UGU] LUGAL ú-ul m.ha-ya-a, m.ha-ya-a, m.ha-ya-a, m.ha-ya-a, m.ha-ya-a, m.ha-ya-a, m.ha-ya
151,101:006, m.ÌR-a-$i-ir-ta i-nu-ma, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
152,101:019, [i]a-aq-bu m.ha-ya-a, m.ha-ya-a, m.ha-ya-a, m.ha-ya-a, m.ha-ya-a, m.ha-ya-a, m.ha-ya
153,101:030, m.ÌR-a-$i-ir-ta LUGAL ì$-ta-kàn-$u, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
154,101:035, KUR a-mur-ri ù ca-bat m.ÌR a-ni-[t]a5, m.ÌR, m.ÌR, m.ÌR, m.ÌR, m.ÌR, m.ÌR
155,102:001, [a-na m.ia-an-ha-]m[i _ _ _], m.ia-an-ha-]m[i, m.ia-an-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu
156,102:003, um-ma m.ri-ib-d.IßKUR, m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
157,102:023, $al-mu it-ti D[UM]U.MEß m.ÌR-a$-ra-ta, m.ÌR-a$-ra-ta, m.ÌR-aš-ra-ta, m.ÌR-aš-ra-ta, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti
158,103:002, d.UTU-ia um-ma m.ri-ib-d.IßKUR, m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
159,103:009, m.DUMU.MEß ÌR-a-$i-ir-ta i-ru-bu, m.DUMU.MEß, m.DUMU.MEŠ, m.DUMU.MEŠ, m.DUMU.MEŠ, m.DUMU.MEŠ, m.DUMU.MEŠ
160,103:018, m.zi-im-re-da [ù], m.zi-im-re-da, m.zi-im-re-da, m.zi-im-re-da, m.zi-im-ri-da, m.zi-im-ri-da, m.zi-im-ri-da
161,103:019, m.ia-pa-d.IßKUR [it]-ti-ia, m.ia-pa-d.IßKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR
162,104:003, um-ma m.ri-ib-d.IßKUR ÌR-ka-ma, m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
163,104:007, i-nu-ma m.pu-ba-á@-la, m.pu-ba-á, m.pu-ba-á, m.pu-ba-á, m.pu-ba-á, m.pu-ba-á, m.pu-ba-á
164,104:008, m.DUMU ÌR-a-$i-ir-ta, m.DUMU, m.DUMU, m.DUMU, m.DUMU, m.DUMU, m.DUMU
165,104:018, DUMU.MEß m.ÌR-a-$i-ir-ta, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
166,104:047, ù DUMU.MEß m.ÌR-a-$i-i[r-]ta, m.ÌR-a-$i-i[r-]ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
167,105:001, [m.r]i-ib-d.IßKUR iq-bi a-na EN[-$u], [m.r]i-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
168,105:011, m.DUMU.MEß ÌR-a-$i-ir-ta i$-tu qa-qa-ri, m.DUMU.MEß, m.DUMU.MEŠ, m.DUMU.MEŠ, m.DUMU.MEŠ, m.DUMU.MEŠ, m.DUMU.MEŠ
169,105:015, ma-har m.ia-a[n-]ha-mi [ù, m.ia-a[n-]ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu
170,105:019, pí-µá-ti ka-l[i m]i-am m.ÌR-a-$i-ir-ta, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
171,105:025, ù ka-li mi-im-mi m.ÌR-a-$i-ir-ta, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
172,105:031, a-na URU cu-mu-ra m.ia-pa-d.IßKUR, m.ia-pa-d.IßKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR
173,105:034, di-[n]a a-na pa-ni m.a-[m]a-an-[ _ -d]i, m.a-[m]a-an-[, m.a-ma-an-, m.a-ma-an-, m.a-ma-an-, m.a-ma-an-, m.a-ma-an-
174,105:035, ù m.DUMU-bi-ha-a ù a-[n]a p[a-n]i, m.DUMU-bi-ha-a, m.DUMU-bi-ha-a, m.DUMU-bi-ha-a, m.DUMU-bi-ha-a, m.DUMU-bi-ha-a, m.DUMU-bi-ha-a
175,105:036, m.ia-an-ha-mi ù ti-du, m.ia-an-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mi, m.ia-an-ha-mu, m.ia-an-ha-mu, m.ia-an-ha-mu
176,105:075, [_ _ _ _ m.ia]-pa-[d.]IßKUR, m.ia]-pa-[d.]IßKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR, m.ia-pa-d.IŠKUR
